Generation,Cohesion,Alignment,Separation,Fitness
8,18.432000000000002,0.31948800000000005,0.3686400000000001,0.9967412807729488
8,49.7664,0.17039360000000003,0.29491200000000006,0.9966965265515558
8,41.472,0.21299200000000004,0.3686400000000001,0.9963074949705363
8,17.69472,0.20447232000000004,0.23592960000000007,0.9962931380335377
8,17.69472,0.30670848000000006,0.23592960000000007,0.9948682982908655
8,49.7664,0.25559040000000005,0.4423680000000001,0.9946319166927469
8,22.1184,0.25559040000000005,0.29491200000000006,0.99435271659171
8,33.177600000000005,0.25559040000000005,0.4423680000000001,0.9898174777597173
8,26.542080000000006,0.20447232000000004,0.3538944000000001,0.9895184856082705
8,14.155776000000001,0.24536678400000003,0.18874368000000008,0.9891675881960001
8,22.118400000000005,0.25559040000000005,0.4423680000000001,0.984378297657589
8,14.745600000000003,0.38338560000000005,0.4423680000000001,0.9614556709018781
8,14.155776000000001,0.16357785600000005,0.28311552000000006,0.9610162715378271
8,17.694720000000004,0.30670848000000006,0.3538944000000001,0.9490729351523943
8,14.155776000000001,0.16357785600000005,0.18874368000000008,0.9452609931383906
8,26.542080000000002,0.20447232000000004,0.23592960000000007,0.9204703802449076
8,26.542080000000002,0.30670848000000006,0.35389440000000005,0.9035166387960971
8,17.694720000000004,0.30670848000000006,0.5308416000000001,0.8688068652788624
8,22.1184,0.38338560000000005,0.4423680000000001,0.8091204625122053
8,14.745600000000003,0.38338560000000005,0.4423680000000001,0.21916984704256318
9,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9978983354101516
9,41.472,0.21299200000000004,0.3686400000000001,0.9971207502939426
9,14.155776000000001,0.24536678400000003,0.28311552000000006,0.9968876532132018
9,17.69472,0.30670848000000006,0.23592960000000007,0.9953931172307281
9,33.177600000000005,0.17039360000000003,0.4423680000000001,0.9953331531853238
9,39.81312,0.13631488000000003,0.35389440000000005,0.9951403127757129
9,49.7664,0.17039360000000003,0.29491200000000006,0.9943202922294633
9,21.233664,0.36805017600000006,0.18874368000000008,0.9914144989328028
9,49.7664,0.17039360000000003,0.4423680000000001,0.9905521856103391
9,39.81312,0.20447232000000004,0.23592960000000007,0.9886089918725947
9,21.233664,0.16357785600000005,0.18874368000000008,0.9648882934548104
9,21.233664,0.24536678400000006,0.18874368000000008,0.928950392225852
9,18.432000000000002,0.31948800000000005,0.3686400000000001,0.9230780208275444
9,17.69472,0.20447232000000004,0.23592960000000007,0.8109097822831892
9,14.155776000000001,0.36805017600000006,0.28311552000000006,0.7345156062919577
9,14.745600000000003,0.25559040000000005,0.4423680000000001,0.7260911256198805
9,22.1184,0.38338560000000005,0.29491200000000006,0.5893967746459904
